id,client_id,job_id,start_time,end_time,duration
1,2,0,1573750367.51106,1573750369.47827,1.96720910072327
2,1,0,1573750367.95557,1573750369.90207,1.94649982452393
3,6,0,1573750368.49156,1573750370.47359,1.98203039169312
4,0,0,1573750368.821,1573750370.8451,2.02409553527832
5,1,1,1573750369.42648,1573750371.47339,2.04690861701965
6,2,1,1573750369.83911,1573750371.74463,1.90552377700806
7,5,0,1573750369.75862,1573750371.78175,2.02312994003296
8,5,1,1573750370.27612,1573750372.31309,2.03697109222412
9,1,2,1573750370.51555,1573750372.5223,2.00674700737
10,5,2,1573750371.27473,1573750373.16323,1.88850164413452
11,0,1,1573750371.66848,1573750373.55808,1.88959932327271
12,1,3,1573750371.65628,1573750373.56928,1.91300797462463
13,6,1,1573750372.71673,1573750374.62859,1.91186118125916
14,0,2,1573750372.7763,1573750374.74323,1.96692442893982
15,2,2,1573750373.18703,1573750375.1317,1.94466710090637
16,7,0,1573750373.43675,1573750375.38115,1.94439816474915
17,4,0,1573750373.66678,1573750375.60252,1.93573665618896
18,6,2,1573750373.92316,1573750375.91315,1.98998737335205
19,9,0,1573750374.29062,1573750376.21257,1.92195320129395
20,0,3,1573750374.56024,1573750376.47445,1.91420316696167
21,8,0,1573750374.59307,1573750376.56449,1.97142243385315
22,2,3,1573750375.37401,1573750377.24235,1.86834001541138
23,8,1,1573750376.39331,1573750378.20954,1.81622290611267
24,3,0,1573750376.39901,1573750378.23396,1.83495688438416
25,7,1,1573750376.69706,1573750378.5328,1.83574104309082
26,7,2,1573750377.72211,1573750379.55978,1.83767700195313
27,8,2,1573750378.20861,1573750380.02554,1.81693363189697
28,3,1,1573750378.36687,1573750380.17654,1.80967164039612
29,6,3,1573750378.79911,1573750380.65156,1.85245561599731
30,6,4,1573750379.97283,1573750381.88453,1.91170263290405
31,6,5,1573750380.18537,1573750382.11203,1.92666530609131
32,4,1,1573750380.21102,1573750382.14092,1.92990469932556
33,4,2,1573750380.29578,1573750382.21827,1.92248964309692
34,2,4,1573750380.34103,1573750382.28592,1.94489550590515
35,2,5,1573750380.91405,1573750382.89279,1.97874283790588
36,3,2,1573750381.5999,1573750383.48487,1.88496422767639
37,1,4,1573750381.64305,1573750383.52722,1.88416790962219
38,4,3,1573750382.15201,1573750383.9917,1.83969688415527
39,5,3,1573750383.29517,1573750385.1277,1.83253717422485
40,5,4,1573750383.35939,1573750385.19841,1.8390200138092
41,5,5,1573750383.6547,1573750385.45968,1.8049840927124
42,2,6,1573750383.92363,1573750385.73753,1.81389570236206
43,9,1,1573750386.84944,1573750388.67421,1.82476496696472
44,1,5,1573750387.66853,1573750389.60659,1.93805050849915
45,7,3,1573750387.9557,1573750389.91624,1.96054077148438
46,7,4,1573750388.18934,1573750390.18437,1.99503874778748
47,8,3,1573750388.71889,1573750390.69164,1.97274470329285
48,6,6,1573750389.42067,1573750391.3169,1.89623069763184
49,7,5,1573750389.84412,1573750391.69087,1.84674620628357
50,0,4,1573750391.33485,1573750393.09658,1.7617290019989
51,1,6,1573750391.97808,1573750393.74007,1.76198935508728
52,0,5,1573750393.69597,1573750395.60497,1.90899705886841
53,0,6,1573750393.87372,1573750395.85468,1.98095440864563
54,7,6,1573750394.38033,1573750396.43039,2.05005788803101
55,4,4,1573750394.57916,1573750396.68771,2.10854887962341
56,4,5,1573750394.85719,1573750396.92246,2.06526851654053
57,1,7,1573750395.37519,1573750397.51546,2.14026689529419
58,6,7,1573750395.74056,1573750397.86302,2.12246155738831
59,7,7,1573750395.92326,1573750398.00358,2.08031415939331
60,2,7,1573750396.18541,1573750398.25999,2.07458162307739
61,3,3,1573750396.4446,1573750398.47823,2.03363132476807
62,6,8,1573750396.80416,1573750398.85271,2.0485463142395
63,7,8,1573750396.92423,1573750399.01857,2.09433937072754
64,7,9,1573750397.07225,1573750399.12112,2.04886603355408
65,3,4,1573750397.56147,1573750399.56968,2.00821137428284
66,2,8,1573750397.64099,1573750399.87351,2.23251438140869
67,7,10,1573750397.69947,1573750399.97657,2.27710032463074
68,3,5,1573750397.78452,1573750400.23971,2.4551887512207
69,6,9,1573750397.82819,1573750400.4105,2.58230972290039
70,4,6,1573750397.84939,1573750400.74082,2.89143133163452
71,8,4,1573750400.19708,1573750402.03308,1.83599376678467
72,9,2,1573750401.11415,1573750403.058,1.94385623931885
73,9,3,1573750401.38572,1573750403.43305,2.04733681678772
74,0,7,1573750401.65218,1573750403.74214,2.08996272087097
75,5,6,1573750401.80003,1573750403.85168,2.05165433883667
76,7,11,1573750402.03589,1573750404.03599,2.00009894371033
77,8,5,1573750402.10516,1573750404.15498,2.04981684684753
78,7,12,1573750402.37784,1573750404.46585,2.08801579475403
79,3,6,1573750402.50183,1573750404.55832,2.05649042129517
80,8,6,1573750402.54676,1573750405.09742,2.55066084861755
81,1,8,1573750402.60096,1573750405.53914,2.9381742477417
82,9,4,1573750403.10233,1573750405.79808,2.69575262069702
83,3,7,1573750403.30199,1573750405.92029,2.6183021068573
84,2,9,1573750403.54648,1573750406.07986,2.53337574005127
85,8,7,1573750403.66647,1573750406.2233,2.5568253993988
86,7,13,1573750404.33541,1573750406.50774,2.17232847213745
87,3,8,1573750404.41775,1573750406.56885,2.15110325813293
88,0,8,1573750405.14578,1573750407.19626,2.05047917366028
89,3,9,1573750405.98953,1573750407.82893,1.83940148353577
90,7,14,1573750407.43106,1573750409.22167,1.790607213974
91,7,15,1573750407.52523,1573750409.31906,1.79382371902466
92,2,10,1573750408.39971,1573750410.20455,1.80483484268188
93,4,7,1573750408.85553,1573750410.67694,1.8214066028595
94,6,10,1573750410.0583,1573750411.89264,1.83433651924133
95,9,5,1573750410.5136,1573750412.38091,1.8673107624054
96,3,10,1573750410.55158,1573750412.40978,1.85820007324219
97,5,7,1573750411.08788,1573750412.93071,1.84282612800598
98,1,9,1573750411.7732,1573750413.64559,1.87239336967468
99,3,11,1573750411.91761,1573750413.80347,1.8858642578125
100,1,10,1573750412.52459,1573750414.41693,1.89234042167664
101,8,8,1573750412.99093,1573750414.89595,1.90502119064331
102,0,9,1573750413.41748,1573750415.34118,1.92369675636292
103,7,16,1573750413.47926,1573750415.39157,1.91230726242065
104,4,8,1573750413.62097,1573750415.5883,1.96732950210571
105,4,9,1573750414.04142,1573750415.92598,1.88456392288208
106,6,11,1573750414.42607,1573750416.26953,1.84346461296082
107,7,17,1573750415.3826,1573750417.19537,1.81277632713318
108,0,10,1573750415.84168,1573750417.7262,1.88452005386353
109,4,10,1573750416.45456,1573750418.34012,1.88556528091431
110,2,11,1573750416.5895,1573750418.50131,1.91181373596191
111,1,11,1573750417.44774,1573750419.42847,1.98072481155396
112,5,8,1573750417.43328,1573750419.43387,2.00059175491333
113,5,9,1573750417.6968,1573750419.72773,2.03092789649963
114,7,18,1573750417.98975,1573750419.9725,1.98274731636047
115,0,11,1573750418.14385,1573750420.16564,2.02178907394409
116,4,11,1573750418.16757,1573750420.20566,2.03808903694153
117,4,12,1573750418.32595,1573750420.34514,2.01918506622314
118,3,12,1573750418.88436,1573750420.86735,1.98299098014832
119,4,13,1573750419.0117,1573750421.38899,2.37729120254517
120,8,9,1573750419.55573,1573750421.54256,1.98682713508606
121,8,10,1573750420.09953,1573750422.01707,1.91754364967346
122,5,10,1573750420.29855,1573750422.2334,1.93485713005066
123,5,11,1573750420.50671,1573750422.4126,1.90589141845703
124,5,12,1573750421.28317,1573750423.2102,1.92702341079712
125,3,13,1573750421.43072,1573750423.37558,1.94485902786255
126,5,13,1573750422.12716,1573750424.05008,1.92291879653931
127,5,14,1573750422.29927,1573750424.20253,1.9032621383667
128,9,6,1573750422.73151,1573750424.63361,1.90209531784058
129,6,12,1573750422.87669,1573750424.77809,1.90140509605408
130,6,13,1573750423.03439,1573750424.91778,1.8833863735199
131,8,11,1573750424.08035,1573750425.94064,1.86028695106506
132,4,14,1573750424.66185,1573750426.63536,1.97350978851318
133,2,12,1573750425.19545,1573750427.15413,1.95867657661438
134,9,7,1573750425.34806,1573750427.32472,1.97666168212891
135,3,14,1573750425.34276,1573750427.34004,1.99728226661682
136,0,12,1573750425.74298,1573750427.76631,2.02332735061645
137,7,19,1573750425.92967,1573750427.98492,2.05525374412537
138,3,15,1573750425.95721,1573750427.99196,2.03474593162537
139,1,12,1573750426.35256,1573750428.40127,2.04870462417603
140,3,16,1573750426.48481,1573750428.71619,2.23137855529785
141,7,20,1573750426.8118,1573750429.15615,2.34435200691223
142,1,13,1573750426.85172,1573750429.32799,2.47626757621765
143,0,13,1573750427.37863,1573750429.72378,2.34514999389648
144,0,14,1573750427.50871,1573750429.95283,2.44411611557007
145,7,22,1573750427.92628,1573750429.96545,2.03917193412781
146,8,12,1573750429.24349,1573750431.11156,1.8680739402771
147,9,8,1573750429.47322,1573750431.3268,1.85358095169067
148,5,15,1573750429.47209,1573750431.35313,1.88104963302612
149,2,13,1573750430.61644,1573750432.46712,1.85067939758301
150,2,14,1573750431.00131,1573750432.88231,1.88099503517151
151,2,15,1573750431.3108,1573750433.23346,1.9226565361023
152,7,23,1573750431.39573,1573750433.32002,1.92428779602051
153,2,16,1573750432.30141,1573750434.27951,1.97809767723084
154,5,16,1573750432.38808,1573750434.33823,1.95015621185303
155,1,14,1573750432.62811,1573750434.60684,1.9787278175354
156,8,13,1573750432.93965,1573750434.86062,1.92096924781799
157,3,17,1573750433.4424,1573750435.37442,1.9320228099823
158,6,14,1573750433.72442,1573750435.62864,1.90422105789185
159,4,15,1573750433.82428,1573750435.76392,1.93964672088623
160,7,24,1573750434.70654,1573750436.55589,1.84935116767883
161,6,15,1573750434.73438,1573750436.56978,1.83540630340576
162,3,18,1573750436.10331,1573750437.91895,1.81564354896545
163,9,9,1573750436.91027,1573750438.75965,1.8493800163269
164,0,15,1573750437.05216,1573750438.85855,1.8063850402832
165,0,16,1573750438.17077,1573750440.0008,1.83003854751587
166,9,10,1573750438.32391,1573750440.15725,1.83333683013916
167,4,16,1573750438.89302,1573750440.75599,1.86297631263733
168,6,16,1573750438.96527,1573750440.81446,1.8491952419281
169,3,19,1573750439.32107,1573750441.18258,1.86150598526001
170,1,15,1573750440.38602,1573750442.17392,1.78790140151978
171,3,20,1573750440.78233,1573750442.57576,1.79343104362488
172,5,17,1573750441.95604,1573750443.77424,1.81819868087769
173,9,11,1573750442.87821,1573750444.65418,1.77597403526306
174,0,17,1573750443.18045,1573750444.98107,1.80062079429626
175,2,17,1573750444.44714,1573750446.27773,1.83059644699097
