id,client_id,job_id,start_time,end_time,duration
1,5,0,1573748101.81076,1573748103.80833,1.99757289886475
2,4,0,1573748102.3265,1573748104.30139,1.97489547729492
3,3,0,1573748102.41879,1573748104.39025,1.97146129608154
4,3,1,1573748103.11673,1573748105.12531,2.00858163833618
5,4,1,1573748103.1398,1573748105.16104,2.02124285697937
6,0,0,1573748103.50201,1573748105.50723,2.00522494316101
7,9,0,1573748103.69818,1573748105.70782,2.00963640213013
8,5,1,1573748104.52336,1573748106.37427,1.85091638565063
9,0,1,1573748105.10325,1573748106.95678,1.85353255271912
10,9,1,1573748105.6289,1573748107.48322,1.85432004928589
11,3,2,1573748106.25207,1573748108.13633,1.88425970077515
12,5,2,1573748106.47508,1573748108.36152,1.88644075393677
13,9,2,1573748106.55782,1573748108.44204,1.88421988487244
14,0,2,1573748106.5912,1573748108.48078,1.88957858085632
15,6,0,1573748107.36671,1573748109.24298,1.87627243995667
16,8,0,1573748108.24487,1573748110.12598,1.88110327720642
17,6,1,1573748108.17135,1573748110.18119,2.00984311103821
18,3,3,1573748108.58291,1573748110.45874,1.87583088874817
19,4,2,1573748108.91519,1573748110.81572,1.90053081512451
20,8,1,1573748109.37774,1573748111.23094,1.85319828987122
21,5,3,1573748109.37094,1573748111.24814,1.87719941139221
22,7,0,1573748110.11592,1573748111.94091,1.82499527931213
23,6,2,1573748111.38081,1573748113.22026,1.83944511413574
24,0,3,1573748111.85998,1573748113.69741,1.83742237091064
25,2,0,1573748112.45607,1573748114.31801,1.86194157600403
26,9,3,1573748112.56412,1573748114.42063,1.8565046787262
27,5,4,1573748113.05123,1573748114.91026,1.85903239250183
28,6,3,1573748113.47168,1573748115.33929,1.8676164150238
29,2,1,1573748113.97239,1573748115.85235,1.87996125221252
30,8,2,1573748114.29911,1573748116.17106,1.8719494342804
31,5,5,1573748114.98282,1573748116.86336,1.88054251670837
32,2,2,1573748114.99029,1573748116.87204,1.88175272941589
33,9,4,1573748115.12658,1573748117.01179,1.88521361351013
34,2,3,1573748115.64193,1573748117.50015,1.85822319984436
35,7,1,1573748116.14247,1573748117.96566,1.82318878173828
36,7,2,1573748116.54802,1573748118.36577,1.8177547454834
37,9,5,1573748118.813,1573748120.60822,1.79521799087524
38,5,6,1573748119.4557,1573748121.24273,1.78702449798584
39,5,7,1573748119.94297,1573748121.74935,1.80638551712036
40,0,4,1573748121.33801,1573748123.12785,1.78984308242798
41,9,6,1573748121.94443,1573748123.72521,1.78077554702759
42,4,3,1573748122.62115,1573748124.40261,1.78145480155945
43,8,3,1573748124.30929,1573748126.1249,1.81560373306274
44,3,4,1573748124.61548,1573748126.44848,1.83300447463989
45,8,4,1573748124.98573,1573748126.80527,1.81954073905945
46,6,4,1573748125.78329,1573748127.63492,1.85162544250488
47,5,8,1573748126.28211,1573748128.10377,1.82165765762329
48,3,5,1573748127.28841,1573748129.13601,1.84759569168091
49,2,4,1573748127.48636,1573748129.39233,1.9059784412384
50,4,4,1573748127.85758,1573748129.74137,1.88379049301147
51,3,6,1573748127.96448,1573748129.84076,1.87627959251404
52,6,5,1573748128.50925,1573748130.41246,1.90321850776672
53,3,7,1573748128.90434,1573748130.78499,1.88064885139465
54,3,8,1573748129.65119,1573748131.55013,1.89894270896912
55,5,9,1573748129.64876,1573748131.55663,1.90786504745483
56,0,5,1573748130.25632,1573748132.16477,1.90845227241516
57,5,10,1573748130.44496,1573748132.34464,1.89967894554138
58,0,6,1573748130.79498,1573748132.76826,1.97328066825867
